NP_459021.1	Q8ZS11
NP_459065.1	Q8ZRY2
NP_460185.1	Q8ZQ02
NP_459029.1	Q8ZS05
NP_462523.1	Q8ZLB5
NP_459302.1	P37459
NP_460977.1	Q05628
NP_461046.1	H9L433
NP_459288.1	Q7CR57
NP_461586.1	Q8ZMX2
NP_461333.1	Q8ZNA5
NP_463082.1	Q8ZKI8
NP_459970.1	Q8ZQB5
NP_462447.1	Q8ZLG1
NP_459340.1	Q8ZRH4
NP_462435.1	Q8ZLG7
NP_459095.1	Q56016
NP_460405.1	Q8ZPN3
NP_462846.1	Q9L6N5
NP_463150.1	Q8ZKE7
NP_462410.1	Q7CPK5
NP_460336.1	Q8ZPQ3
NP_459577.1	Q8ZR40
NP_462011.1	P58580
NP_459784.1	P65398
NP_459482.2	P58480
NP_460074.1	Q8ZQ49
NP_459087.1	Q7CR88
NP_463046.1	P40677
NP_459567.1	Q8ZR47
NP_462744.1	Q9FDH7
NP_459333.1	Q8ZRI1
NP_459114.1	Q8ZRV0
NP_463369.1	Q8ZJZ9
NP_460511.1	Q8ZPF8
NP_460916.1	P26613
NP_459776.1	Q8ZQQ4
NP_459590.1	Q8ZR30
NP_460284.1	H9L460
NP_461275.1	Q8ZND9
NP_460805.1	Q8ZNZ3
NP_459380.1	H9L4B6
NP_461032.1	P26401
NP_462037.1	Q8ZM34
NP_462837.1	P0A2R8
NP_460070.1	Q8ZQ52
NP_461190.1	Q8ZNI0
NP_461571.1	Q4AAY5
NP_461083.1	Q8ZNP2
NP_461926.1	Q8ZMA5
NP_463027.1	Q9L9J2
NP_461965.1	Q7CPV0
NP_460986.1	O31041
NP_459489.1	P06196
NP_461201.1	Q8ZNH7
NP_461138.1	P64209
NP_461183.1	Q8ZNI5
NP_460380.1	P74857
NP_463090.1	Q8ZKI1
NP_459193.1	Q8ZRQ5
NP_462545.1	Q8ZLA2
NP_460899.1	O66041
NP_459537.1	P58688
NP_459079.1	Q8ZRX1
NP_461536.1	Q8ZN01
NP_459646.1	Q8ZQZ1
NP_461871.1	Q8ZME5
NP_459169.1	Q7CR73
NP_460416.1	Q8ZPM5
NP_461805.1	P0CL47
NP_462370.1	Q8ZLK8
NP_459414.1	P55881
NP_462927.1	P27031
NP_461345.1	Q93IM6
NP_462465.1	P0A1W6
NP_460540.1	P40788
NP_459283.1	Q8ZRL2
NP_460078.1	Q7CQS5
NP_463065.1	Q8ZKK5
NP_461830.1	P0A1Y0
NP_462482.2	Q8ZLE4
NP_460246.1	Q8ZPW7
NP_462002.1	P60659
NP_459640.1	Q8ZQZ6
NP_459800.1	Q8ZQN6
NP_460547.1	Q7CQI6
NP_462154.1	Q8ZLW3
NP_459390.1	Q8ZRE3
NP_459747.1	Q8ZQS6
NP_460316.1	Q8ZPS2
NP_459504.1	Q9S4Z2
NP_463385.1	Q8ZJY8
NP_463376.1	Q7CP73
NP_459341.1	Q8ZRH3
NP_461099.1	Q8ZNN4
NP_462233.1	Q8ZLR8
NP_461255.1	P60195
NP_459595.1	Q8ZR26
NP_459860.1	Q8ZQJ4
NP_459977.1	P40817
NP_461762.1	Q8ZMJ6
NP_459809.1	P0CL04
NP_460275.1	Q8ZPU6
NP_461698.1	P52616
NP_459157.1	Q8ZRT2
NP_460615.1	Q9EYX5
NP_461715.2	P0CL02
NP_463348.1	Q8ZK18
NP_461438.1	Q8ZN67
NP_461614.1	Q8ZMW1
NP_462090.1	Q8ZM00
NP_460036.1	Q8ZQ72
NP_461839.1	Q8ZMG4
NP_461411.1	Q8ZN81
NP_461073.1	Q8ZNQ1
NP_459520.1	Q8ZR78
NP_459584.1	Q7CQZ9
NP_460624.1	Q8ZP81
NP_461367.1	P0A249
NP_461677.1	Q8ZMQ4
NP_462398.1	P0CL13
NP_460747.1	Q7CQE6
NP_459051.1	Q8ZRZ0
NP_463398.1	Q8ZJX8
NP_460963.1	Q05599
NP_460261.1	Q8ZPV6
NP_462655.1	H9L4B9
NP_461269.1	Q7CQ50
NP_461604.1	P36245
NP_459135.1	Q8ZRU1
NP_462430.1	Q8ZLH2
NP_459163.1	Q8ZRS8
NP_459623.1	Q8ZR05
NP_461537.1	Q8ZN00
NP_463145.1	Q8ZKF2
NP_459850.1	Q8ZQK2
NP_463187.1	Q8ZKC3
NP_460649.1	Q8ZP59
NP_460512.1	Q8ZPF7
NP_459599.1	Q8ZR22
NP_462590.1	Q8ZL65
NP_459578.1	Q8ZR39
NP_459289.1	Q8ZRL0
NP_459545.1	P26318
NP_459947.1	Q8ZQC8
NP_459058.1	Q8ZRY5
NP_460233.1	Q8ZPX7
NP_462183.1	P60822
NP_459452.1	Q8ZRB7
NP_461625.1	Q8ZMV3
NP_460664.1	P37723
NP_460554.1	H9L489
NP_459151.1	P0CL03
NP_461460.1	Q8ZN52
NP_461815.1	P0A1B9
NP_463445.1	Q8ZJU5
NP_460959.1	Q8ZNR7
NP_461175.1	Q8ZNJ3
NP_460562.1	Q7CQH9
NP_459108.1	P06188
NP_459997.1	Q8ZQA4
NP_462562.1	Q8ZL89
NP_460719.1	Q8ZP38
NP_461008.1	P37602
NP_462935.1	P43020
NP_460788.1	Q8ZP02
NP_460186.1	Q8ZQ01
NP_461578.1	Q8ZMX7
NP_461788.1	P0CL09
NP_462341.1	P60428
NP_460658.1	P16656
NP_460595.1	Q8ZPA0
NP_459446.1	Q8ZRB9
NP_459096.1	P58717
NP_460062.1	Q8ZQ58
NP_462669.1	Q7CPG4
NP_459526.1	Q8ZR73
NP_460891.1	Q8ZNU4
NP_459654.1	Q7CQY9
NP_461416.1	Q8ZN77
NP_460351.1	Q8ZPP6
NP_463075.1	Q8ZKJ5
NP_462702.1	Q8ZL09
NP_460740.1	Q7CQE8
NP_462538.1	P43663
NP_462067.1	Q8ZM14
NP_462030.1	Q8ZM37
NP_461484.1	P26475
NP_461889.1	Q8ZMD2
NP_461716.1	Q8ZMM3
NP_460659.1	P16657
NP_461471.1	Q9RF52
NP_462234.1	Q7CPN7
NP_461109.1	Q8ZNM9
NP_459978.1	Q8ZQB1
NP_459136.1	Q7CR81
NP_463151.1	H9L4A3
NP_462822.1	Q9L6Q4
NP_461771.1	Q8ZMI9
NP_460600.3	Q8ZP95
NP_459770.1	Q8ZQQ8
NP_461538.1	Q8ZMZ9
NP_461517.1	P0A1W2
NP_462729.1	Q8ZKZ0
NP_461264.1	Q60010
NP_462919.1	Q8ZKS6
NP_463447.1	Q8ZJU3
NP_459748.1	Q8ZQS5
NP_461226.1	Q8ZNG5
NP_460498.1	Q8ZPH0
NP_463455.1	Q7CP62
NP_459475.1	Q7CR14
NP_462279.1	Q8ZLP4
NP_459460.1	Q8ZRB2
NP_461214.1	P37411
NP_462146.1	Q8ZLW9
NP_459197.1	Q8ZRQ1
NP_461340.1	P12681
NP_461335.1	Q8ZNA4
NP_459843.1	Q8ZQK8
NP_462254.1	P66643
NP_463033.1	Q9L9I7
NP_460867.1	P0CL14
NP_459585.1	Q8ZR35
NP_459178.1	Q8ZRR8
NP_463050.1	P51067
NP_462782.1	Q7CPD9
NP_460409.1	Q8ZPN1
NP_460072.1	Q8ZQ50
NP_459570.1	P15888
NP_460789.1	Q8ZP01
NP_459297.1	Q8ZRK4
NP_463371.1	Q8ZJZ8
NP_462371.1	P40732
NP_459711.1	Q8ZQU8
NP_459396.1	Q8ZRE0
NP_459940.1	Q8ZQD3
NP_461920.1	P37178
NP_461570.1	Q4AAY6
NP_463142.1	Q8ZKF5
NP_463055.1	P36936
NP_460063.1	O30917
NP_463392.1	Q8ZJY4
NP_459514.1	Q8ZR83
NP_461140.1	Q8ZNL4
NP_461686.1	Q8ZMP5
NP_460571.1	P58535
NP_459521.1	Q7CR07
NP_460235.1	H9L410
NP_459985.1	Q8ZQA8
NP_459803.1	Q8ZQN4
NP_460080.1	Q8ZQ46
NP_459908.1	Q8ZQF3
NP_462085.1	Q8ZM01
NP_460625.1	Q8ZP80
NP_462060.1	Q8ZM18
NP_460641.1	P0A2D7
NP_460836.1	Q8ZNW9
NP_459199.1	O87656
NP_459027.1	H9L483
NP_459235.1	P0A2C1
NP_462496.1	Q8ZLD5
NP_462383.1	Q7CPK8
NP_463213.2	Q8ZKB0
NP_459865.1	Q7CQV1
NP_459648.1	Q8ZQY9
NP_459080.1	Q8ZRX0
NP_462578.1	Q8ZL74
NP_459067.1	Q8ZRY0
NP_461133.1	Q56036
NP_460109.1	O54290
NP_459547.1	P37928
NP_461462.1	Q8ZN51
NP_461789.1	Q8ZMI2
NP_459756.1	Q8ZQS0
NP_459556.1	Q8ZR56
NP_463279.1	Q8ZK64
NP_461910.1	Q8ZMB7
